hours_studied,previous_scores,extracurricular_activities,sleep_hours,sample_question_papers_practiced,performance_index,result,grade,performance_category
3,88,Yes,4,4,68.0,Pass,D,Good
8,96,No,8,9,94.0,Pass,A,Excellent
6,59,Yes,4,9,47.0,Fail,F,Average
8,48,No,5,4,40.0,Fail,F,Poor
9,98,Yes,7,7,100.0,Pass,A,Excellent
4,44,Yes,9,0,23.0,Fail,F,Poor
1,62,No,4,4,36.0,Fail,F,Poor
1,72,No,7,0,47.0,Fail,F,Average
4,77,Yes,8,6,60.0,Pass,D,Average
7,95,No,9,6,83.0,Pass,B,Excellent
2,53,Yes,8,9,33.0,Fail,F,Poor
3,56,No,5,7,36.0,Fail,F,Poor
1,96,No,8,6,74.0,Pass,C,Good
5,58,No,4,8,42.0,Fail,F,Average
1,72,Yes,5,7,47.0,Fail,F,Average
8,40,Yes,7,7,31.0,Fail,F,Poor
1,52,No,5,2,26.0,Fail,F,Poor
1,85,Yes,7,9,58.0,Pass,E,Average
2,66,No,6,3,42.0,Fail,F,Average
2,45,Yes,4,3,18.0,Fail,F,Poor
6,98,No,4,0,85.0,Pass,B,Excellent
7,45,Yes,7,5,36.0,Fail,F,Poor
5,72,Yes,8,1,58.0,Pass,E,Average
1,69,Yes,9,8,45.0,Fail,F,Average
1,85,Yes,8,0,60.0,Pass,D,Average
3,74,Yes,6,0,56.0,Pass,E,Average
2,62,Yes,7,9,42.0,Fail,F,Average
5,49,No,6,5,33.0,Fail,F,Poor
6,90,No,7,0,77.0,Pass,C,Good
7,58,Yes,6,2,51.0,Pass,E,Average
4,90,No,7,9,72.0,Pass,C,Good
7,67,Yes,4,1,57.0,Pass,E,Average
8,62,No,6,8,53.0,Pass,E,Average
1,43,No,6,4,16.0,Fail,F,Poor
6,59,No,7,5,45.0,Fail,F,Average
8,58,No,5,1,49.0,Fail,F,Average
5,81,Yes,5,7,67.0,Pass,D,Good
4,66,No,4,5,49.0,Fail,F,Average
2,96,No,8,7,73.0,Pass,C,Good
6,73,No,8,7,65.0,Pass,D,Good
6,43,Yes,4,0,27.0,Fail,F,Poor
1,95,No,8,6,72.0,Pass,C,Good
9,77,Yes,9,1,74.0,Pass,C,Good
6,46,Yes,9,7,38.0,Fail,F,Poor
3,87,No,9,1,67.0,Pass,D,Good
4,46,Yes,9,3,28.0,Fail,F,Poor
4,89,No,7,1,73.0,Pass,C,Good
3,91,No,5,6,72.0,Pass,C,Good
3,65,No,4,4,42.0,Fail,F,Average
3,65,No,7,8,47.0,Fail,F,Average
4,93,No,9,4,77.0,Pass,C,Good
7,58,No,4,7,49.0,Fail,F,Average
4,48,No,5,1,30.0,Fail,F,Poor
9,59,Yes,8,2,54.0,Pass,E,Average
1,81,Yes,7,5,56.0,Pass,E,Average
8,84,No,5,6,75.0,Pass,C,Good
7,89,No,4,9,78.0,Pass,C,Good
2,55,Yes,6,7,32.0,Fail,F,Poor
8,93,No,7,2,89.0,Pass,B,Excellent
1,56,Yes,4,6,29.0,Fail,F,Poor
9,61,Yes,4,7,57.0,Pass,E,Average
9,52,No,5,9,48.0,Fail,F,Average
2,51,No,4,5,27.0,Fail,F,Poor
7,49,Yes,7,3,38.0,Fail,F,Poor
3,40,Yes,9,5,18.0,Fail,F,Poor
7,71,No,7,8,66.0,Pass,D,Good
9,69,No,4,2,65.0,Pass,D,Good
4,47,Yes,5,1,27.0,Fail,F,Poor
1,60,Yes,7,4,33.0,Fail,F,Poor
2,61,Yes,6,6,37.0,Fail,F,Poor
1,57,No,9,2,29.0,Fail,F,Poor
5,41,No,8,4,26.0,Fail,F,Poor
5,87,No,5,3,72.0,Pass,C,Good
7,83,Yes,5,6,77.0,Pass,C,Good
9,48,Yes,8,1,45.0,Fail,F,Average
9,42,No,8,6,41.0,Fail,F,Average
3,93,Yes,7,1,73.0,Pass,C,Good
3,65,Yes,4,2,43.0,Fail,F,Average
3,60,Yes,4,4,39.0,Fail,F,Poor
4,69,Yes,6,6,54.0,Pass,E,Average
8,67,Yes,9,5,62.0,Pass,D,Good
6,75,No,4,6,63.0,Pass,D,Good
8,65,No,6,5,59.0,Pass,E,Average
1,73,No,6,0,46.0,Fail,F,Average
8,47,No,5,4,42.0,Fail,F,Average
4,49,No,5,0,30.0,Fail,F,Poor
1,87,Yes,9,6,63.0,Pass,D,Good
8,94,Yes,7,3,89.0,Pass,B,Excellent
4,82,Yes,8,4,62.0,Pass,D,Good
6,89,No,8,0,77.0,Pass,C,Good
8,93,Yes,9,7,88.0,Pass,B,Excellent
4,53,Yes,6,3,35.0,Fail,F,Poor
3,79,Yes,9,2,60.0,Pass,D,Average
9,94,No,8,0,92.0,Pass,A,Excellent
3,54,Yes,6,3,38.0,Fail,F,Poor
9,56,Yes,8,2,56.0,Pass,E,Average
2,92,No,7,7,70.0,Pass,C,Good
2,57,No,5,8,35.0,Fail,F,Poor
2,71,Yes,5,4,47.0,Fail,F,Average
6,77,No,6,8,66.0,Pass,D,Good
3,62,Yes,9,0,43.0,Fail,F,Average
9,85,No,8,6,81.0,Pass,B,Excellent
4,62,Yes,4,6,43.0,Fail,F,Average
1,74,Yes,7,5,46.0,Fail,F,Average
4,78,No,8,3,61.0,Pass,D,Good
1,54,No,4,8,27.0,Fail,F,Poor
5,92,No,7,2,77.0,Pass,C,Good
4,63,No,7,0,43.0,Fail,F,Average
8,67,Yes,5,1,60.0,Pass,D,Average
8,55,No,6,2,48.0,Fail,F,Average
7,55,Yes,8,1,47.0,Fail,F,Average
3,79,Yes,7,5,60.0,Pass,D,Average
1,78,Yes,8,6,53.0,Pass,E,Average
1,45,No,7,4,19.0,Fail,F,Poor
3,41,Yes,9,4,23.0,Fail,F,Poor
6,93,Yes,5,6,81.0,Pass,B,Excellent
7,52,No,6,5,41.0,Fail,F,Average
6,83,Yes,4,7,71.0,Pass,C,Good
6,86,Yes,4,8,75.0,Pass,C,Good
6,98,Yes,9,1,89.0,Pass,B,Excellent
3,48,No,5,1,28.0,Fail,F,Poor
6,73,Yes,7,0,60.0,Pass,D,Average
8,56,Yes,5,6,54.0,Pass,E,Average
2,66,Yes,6,3,41.0,Fail,F,Average
5,68,No,4,8,52.0,Pass,E,Average
1,76,No,8,5,53.0,Pass,E,Average
1,82,No,4,6,52.0,Pass,E,Average
5,61,Yes,6,6,47.0,Fail,F,Average
3,90,Yes,7,7,71.0,Pass,C,Good
4,63,Yes,5,3,42.0,Fail,F,Average
3,46,Yes,4,2,21.0,Fail,F,Poor
1,73,Yes,4,2,48.0,Fail,F,Average
1,87,No,8,9,64.0,Pass,D,Good
5,51,Yes,5,7,38.0,Fail,F,Poor
6,62,Yes,8,2,49.0,Fail,F,Average
3,54,No,8,7,35.0,Fail,F,Poor
9,72,No,7,1,73.0,Pass,C,Good
5,96,Yes,4,4,81.0,Pass,B,Excellent
8,52,No,9,4,47.0,Fail,F,Average
1,62,No,5,6,36.0,Fail,F,Poor
5,77,No,7,4,63.0,Pass,D,Good
3,71,Yes,9,8,52.0,Pass,E,Average
1,84,No,7,2,58.0,Pass,E,Average
4,89,Yes,7,8,77.0,Pass,C,Good
5,74,No,6,0,58.0,Pass,E,Average
7,40,Yes,6,2,33.0,Fail,F,Poor
1,86,Yes,7,3,67.0,Pass,D,Good
3,97,Yes,6,5,76.0,Pass,C,Good
2,84,No,5,9,62.0,Pass,D,Good
9,44,No,4,7,37.0,Fail,F,Poor
6,96,No,9,6,86.0,Pass,B,Excellent
3,52,Yes,5,7,37.0,Fail,F,Poor
8,93,No,4,5,88.0,Pass,B,Excellent
8,44,No,6,5,38.0,Fail,F,Poor
2,99,Yes,9,5,76.0,Pass,C,Good
6,71,No,5,2,57.0,Pass,E,Average
7,90,Yes,8,9,82.0,Pass,B,Excellent
2,60,No,7,3,35.0,Fail,F,Poor
2,63,Yes,4,5,41.0,Fail,F,Average
1,99,Yes,4,6,75.0,Pass,C,Good
8,57,No,8,2,51.0,Pass,E,Average
1,60,Yes,8,3,34.0,Fail,F,Poor
9,93,No,7,5,92.0,Pass,A,Excellent
6,49,No,6,0,39.0,Fail,F,Poor
7,63,No,5,6,56.0,Pass,E,Average
7,79,No,5,0,69.0,Pass,D,Good
3,86,Yes,5,9,69.0,Pass,D,Good
2,60,Yes,6,8,40.0,Fail,F,Poor
9,64,Yes,7,9,63.0,Pass,D,Good
8,91,No,5,8,86.0,Pass,B,Excellent
7,99,No,4,8,89.0,Pass,B,Excellent
9,96,Yes,4,3,94.0,Pass,A,Excellent
4,98,Yes,4,1,79.0,Pass,C,Good
4,62,No,8,6,44.0,Fail,F,Average
1,61,No,8,3,33.0,Fail,F,Poor
8,43,No,6,4,36.0,Fail,F,Poor
3,73,Yes,5,0,50.0,Pass,E,Average
7,95,No,8,9,94.0,Pass,A,Excellent
2,45,Yes,4,5,22.0,Fail,F,Poor
2,67,No,8,6,44.0,Fail,F,Average
7,70,Yes,4,2,60.0,Pass,D,Average
6,74,No,5,9,64.0,Pass,D,Good
3,78,Yes,6,1,58.0,Pass,E,Average
9,81,Yes,7,9,78.0,Pass,C,Good
6,62,Yes,7,6,51.0,Pass,E,Average
6,45,No,4,0,30.0,Fail,F,Poor
1,55,Yes,8,1,29.0,Fail,F,Poor
4,41,Yes,8,2,22.0,Fail,F,Poor
6,63,No,4,3,51.0,Pass,E,Average
6,56,Yes,5,4,45.0,Fail,F,Average
5,84,Yes,4,3,70.0,Pass,C,Good
1,40,No,5,9,10.0,Fail,F,Poor
8,45,Yes,6,2,38.0,Fail,F,Poor
5,44,No,6,0,30.0,Fail,F,Poor
5,96,Yes,4,6,82.0,Pass,B,Excellent
7,84,No,6,9,74.0,Pass,C,Good
4,99,Yes,8,5,87.0,Pass,B,Excellent
6,94,Yes,5,1,77.0,Pass,C,Good
4,89,Yes,7,1,72.0,Pass,C,Good
3,68,No,7,2,51.0,Pass,E,Average
7,51,Yes,6,7,40.0,Fail,F,Poor
8,78,Yes,5,7,72.0,Pass,C,Good
4,86,No,8,9,68.0,Pass,D,Good
2,42,No,7,9,22.0,Fail,F,Poor
3,87,No,8,9,67.0,Pass,D,Good
1,40,Yes,8,9,18.0,Fail,F,Poor
8,66,Yes,7,7,64.0,Pass,D,Good
3,87,Yes,7,6,66.0,Pass,D,Good
7,63,No,6,1,50.0,Pass,E,Average
5,83,No,5,0,68.0,Pass,D,Good
5,58,Yes,4,5,44.0,Fail,F,Average
7,98,Yes,5,7,90.0,Pass,A,Excellent
9,47,No,4,0,41.0,Fail,F,Average
5,94,No,7,2,83.0,Pass,B,Excellent
1,83,No,8,0,57.0,Pass,E,Average
1,86,Yes,5,9,64.0,Pass,D,Good
2,41,No,8,8,18.0,Fail,F,Poor
6,69,No,5,6,62.0,Pass,D,Good
9,69,No,9,7,66.0,Pass,D,Good
8,88,No,5,8,85.0,Pass,B,Excellent
5,78,Yes,8,2,62.0,Pass,D,Good
1,84,No,9,9,62.0,Pass,D,Good
7,71,Yes,6,1,62.0,Pass,D,Good
5,40,Yes,7,5,26.0,Fail,F,Poor
6,77,No,6,4,66.0,Pass,D,Good
7,52,No,6,3,43.0,Fail,F,Average
3,50,Yes,5,5,30.0,Fail,F,Poor
3,49,No,7,5,25.0,Fail,F,Poor
5,87,Yes,9,2,77.0,Pass,C,Good
6,98,No,5,1,88.0,Pass,B,Excellent
9,65,Yes,4,8,62.0,Pass,D,Good
5,95,Yes,5,7,82.0,Pass,B,Excellent
1,94,Yes,9,3,73.0,Pass,C,Good
4,59,No,8,5,44.0,Fail,F,Average
5,56,Yes,5,2,40.0,Fail,F,Poor
5,56,Yes,4,7,39.0,Fail,F,Poor
7,43,No,5,2,34.0,Fail,F,Poor
4,44,No,9,1,27.0,Fail,F,Poor
1,99,Yes,4,6,73.0,Pass,C,Good
5,62,Yes,7,2,46.0,Fail,F,Average
7,85,No,9,8,78.0,Pass,C,Good
6,91,Yes,5,2,80.0,Pass,B,Good
5,49,No,4,7,33.0,Fail,F,Poor
4,85,No,9,1,68.0,Pass,D,Good
2,67,No,7,8,45.0,Fail,F,Average
4,72,Yes,8,0,56.0,Pass,E,Average
3,82,No,6,2,58.0,Pass,E,Average
1,65,Yes,4,1,37.0,Fail,F,Poor
8,94,Yes,8,6,88.0,Pass,B,Excellent
5,89,No,7,4,75.0,Pass,C,Good
4,87,No,8,7,70.0,Pass,C,Good
8,68,No,5,1,62.0,Pass,D,Good
7,66,No,6,7,57.0,Pass,E,Average
2,57,Yes,4,6,32.0,Fail,F,Poor
1,79,Yes,9,4,53.0,Pass,E,Average
4,99,No,7,1,82.0,Pass,B,Excellent
8,49,Yes,6,9,41.0,Fail,F,Average
2,97,No,7,6,75.0,Pass,C,Good
3,81,Yes,8,9,63.0,Pass,D,Good
1,44,Yes,7,3,17.0,Fail,F,Poor
1,49,Yes,7,3,24.0,Fail,F,Poor
3,89,No,8,7,69.0,Pass,D,Good
5,60,Yes,8,5,47.0,Fail,F,Average
3,63,Yes,6,8,43.0,Fail,F,Average
1,77,Yes,4,1,48.0,Fail,F,Average
1,42,Yes,8,4,17.0,Fail,F,Poor
8,79,No,6,5,75.0,Pass,C,Good
2,70,Yes,7,7,54.0,Pass,E,Average
3,80,No,7,3,59.0,Pass,E,Average
2,76,No,9,6,56.0,Pass,E,Average
3,41,Yes,5,6,20.0,Fail,F,Poor
7,41,Yes,8,3,34.0,Fail,F,Poor
1,78,No,6,0,54.0,Pass,E,Average
8,88,No,9,2,83.0,Pass,B,Excellent
2,81,No,6,1,59.0,Pass,E,Average
3,83,Yes,4,2,63.0,Pass,D,Good
9,73,Yes,9,4,72.0,Pass,C,Good
7,81,No,6,0,70.0,Pass,C,Good
4,59,No,8,4,41.0,Fail,F,Average
5,72,No,6,1,54.0,Pass,E,Average
2,43,Yes,5,3,21.0,Fail,F,Poor
8,84,Yes,7,5,83.0,Pass,B,Excellent
4,83,No,7,8,64.0,Pass,D,Good
9,50,Yes,9,9,51.0,Pass,E,Average
5,81,No,6,5,66.0,Pass,D,Good
9,86,Yes,6,9,83.0,Pass,B,Excellent
4,44,No,6,1,26.0,Fail,F,Poor
5,64,Yes,6,7,49.0,Fail,F,Average
9,88,Yes,5,4,85.0,Pass,B,Excellent
8,99,Yes,8,8,95.0,Pass,A,Excellent
3,76,Yes,5,9,56.0,Pass,E,Average
1,73,Yes,5,8,50.0,Pass,E,Average
3,48,Yes,5,3,23.0,Fail,F,Poor
4,45,Yes,7,0,26.0,Fail,F,Poor
2,57,No,5,8,30.0,Fail,F,Poor
1,53,No,6,8,28.0,Fail,F,Poor
7,58,No,5,7,48.0,Fail,F,Average
8,53,Yes,6,4,46.0,Fail,F,Average
7,79,Yes,9,4,73.0,Pass,C,Good
5,56,Yes,8,9,45.0,Fail,F,Average
1,99,No,7,5,76.0,Pass,C,Good
7,74,No,8,0,71.0,Pass,C,Good
7,68,No,9,8,60.0,Pass,D,Average
9,81,No,8,4,77.0,Pass,C,Good
3,56,No,7,6,36.0,Fail,F,Poor
9,98,No,6,7,96.0,Pass,A,Excellent
1,82,Yes,9,4,62.0,Pass,D,Good
1,47,No,9,2,22.0,Fail,F,Poor
4,40,Yes,6,5,21.0,Fail,F,Poor
9,84,No,6,6,79.0,Pass,C,Good
6,92,No,7,3,82.0,Pass,B,Excellent
3,75,Yes,5,8,55.0,Pass,E,Average
1,46,Yes,4,3,22.0,Fail,F,Poor
4,85,Yes,5,9,70.0,Pass,C,Good
9,44,No,5,1,37.0,Fail,F,Poor
3,63,No,8,8,42.0,Fail,F,Average
9,67,Yes,4,3,64.0,Pass,D,Good
7,82,No,6,3,72.0,Pass,C,Good
4,56,Yes,5,9,42.0,Fail,F,Average
3,76,No,7,0,56.0,Pass,E,Average
5,59,No,5,1,43.0,Fail,F,Average
5,42,No,6,2,24.0,Fail,F,Poor
3,76,Yes,5,6,55.0,Pass,E,Average
9,65,No,9,8,64.0,Pass,D,Good
4,54,Yes,8,4,34.0,Fail,F,Poor
5,90,Yes,8,3,78.0,Pass,C,Good
4,87,Yes,5,1,71.0,Pass,C,Good
5,47,Yes,8,6,33.0,Fail,F,Poor
7,52,Yes,7,5,46.0,Fail,F,Average
9,87,Yes,4,6,86.0,Pass,B,Excellent
7,42,Yes,5,7,34.0,Fail,F,Poor
5,40,Yes,7,8,26.0,Fail,F,Poor
7,48,Yes,9,9,44.0,Fail,F,Average
5,70,No,7,4,53.0,Pass,E,Average
3,80,Yes,7,4,61.0,Pass,D,Good
7,93,No,9,3,84.0,Pass,B,Excellent
2,65,Yes,6,2,40.0,Fail,F,Poor
9,56,No,5,6,53.0,Pass,E,Average
1,95,No,5,4,67.0,Pass,D,Good
6,73,No,5,6,58.0,Pass,E,Average
7,48,No,4,1,41.0,Fail,F,Average
8,95,No,7,8,89.0,Pass,B,Excellent
9,90,No,5,8,85.0,Pass,B,Excellent
2,52,Yes,8,8,33.0,Fail,F,Poor
2,44,Yes,6,4,20.0,Fail,F,Poor
5,80,Yes,9,9,66.0,Pass,D,Good
5,52,Yes,9,8,38.0,Fail,F,Poor
6,40,Yes,4,0,25.0,Fail,F,Poor
3,64,Yes,9,1,43.0,Fail,F,Average
8,86,No,6,9,79.0,Pass,C,Good
1,43,Yes,7,4,16.0,Fail,F,Poor
6,75,No,9,4,67.0,Pass,D,Good
4,91,No,9,5,80.0,Pass,B,Good
1,49,No,8,7,26.0,Fail,F,Poor
7,67,No,7,0,57.0,Pass,E,Average
9,96,No,5,9,91.0,Pass,A,Excellent
4,45,No,6,8,29.0,Fail,F,Poor
4,66,Yes,9,3,48.0,Fail,F,Average
6,95,No,8,7,84.0,Pass,B,Excellent
3,51,No,6,4,33.0,Fail,F,Poor
6,91,Yes,4,0,82.0,Pass,B,Excellent
7,87,Yes,8,8,81.0,Pass,B,Excellent
3,42,Yes,4,7,24.0,Fail,F,Poor
7,85,Yes,9,4,81.0,Pass,B,Excellent
3,72,Yes,8,3,54.0,Pass,E,Average
2,49,Yes,5,7,25.0,Fail,F,Poor
4,70,Yes,6,8,53.0,Pass,E,Average
8,54,No,6,6,48.0,Fail,F,Average
9,46,Yes,7,3,40.0,Fail,F,Poor
7,75,No,8,6,66.0,Pass,D,Good
1,53,Yes,8,5,29.0,Fail,F,Poor
3,95,Yes,4,2,73.0,Pass,C,Good
9,87,No,8,9,89.0,Pass,B,Excellent
1,53,Yes,6,2,27.0,Fail,F,Poor
9,42,Yes,8,0,40.0,Fail,F,Poor
8,88,Yes,7,4,83.0,Pass,B,Excellent
1,92,Yes,7,7,69.0,Pass,D,Good
6,85,Yes,6,5,72.0,Pass,C,Good
5,89,Yes,6,7,77.0,Pass,C,Good
6,42,Yes,6,6,32.0,Fail,F,Poor
5,61,No,8,1,49.0,Fail,F,Average
6,58,Yes,8,7,44.0,Fail,F,Average
5,74,No,5,3,57.0,Pass,E,Average
5,51,No,9,4,34.0,Fail,F,Poor
4,93,No,9,7,76.0,Pass,C,Good
3,44,No,4,4,22.0,Fail,F,Poor
3,49,No,8,4,30.0,Fail,F,Poor
4,80,No,5,5,67.0,Pass,D,Good
9,72,No,5,6,71.0,Pass,C,Good
2,52,Yes,7,8,29.0,Fail,F,Poor
9,74,Yes,8,6,74.0,Pass,C,Good
1,90,Yes,5,5,67.0,Pass,D,Good
1,71,No,7,9,46.0,Fail,F,Average
5,50,Yes,4,3,34.0,Fail,F,Poor
6,87,No,7,9,76.0,Pass,C,Good
6,77,No,4,1,64.0,Pass,D,Good
3,63,Yes,9,8,46.0,Fail,F,Average
7,74,No,9,9,68.0,Pass,D,Good
9,58,No,6,4,58.0,Pass,E,Average
8,45,Yes,6,4,41.0,Fail,F,Average
6,79,No,7,2,64.0,Pass,D,Good
8,93,Yes,6,2,84.0,Pass,B,Excellent
5,84,No,8,0,70.0,Pass,C,Good
8,83,No,7,4,77.0,Pass,C,Good
4,81,Yes,5,2,60.0,Pass,D,Average
8,74,Yes,8,1,65.0,Pass,D,Good
2,43,Yes,7,8,21.0,Fail,F,Poor
5,72,No,9,9,60.0,Pass,D,Average
9,52,No,4,5,48.0,Fail,F,Average
4,95,Yes,6,2,77.0,Pass,C,Good
6,75,Yes,6,6,63.0,Pass,D,Good
1,93,Yes,6,8,68.0,Pass,D,Good
9,82,No,7,8,81.0,Pass,B,Excellent
1,58,No,8,0,29.0,Fail,F,Poor
5,82,Yes,4,1,66.0,Pass,D,Good
4,51,Yes,6,7,36.0,Fail,F,Poor
3,50,Yes,8,0,29.0,Fail,F,Poor
6,45,No,5,2,32.0,Fail,F,Poor
2,51,Yes,9,6,31.0,Fail,F,Poor
3,66,Yes,5,7,45.0,Fail,F,Average
5,80,Yes,4,4,65.0,Pass,D,Good
9,64,No,6,1,57.0,Pass,E,Average
2,81,No,5,2,58.0,Pass,E,Average
8,42,Yes,9,8,38.0,Fail,F,Poor
